Constituent Name,Symbol
ARC Resources Ltd.,ARX
ATCO Ltd. Class I Non-voting Shares,ACO.X
ATS Automation Tooling Systems Inc.,ATA
Advantage Oil & Gas Ltd.,AAV
Aecon Group Inc.,ARE
Agnico Eagle Mines Limited,AEM
Agrium Inc.,AGU
Aimia Inc.,AIM
Air Canada Voting and Variable Voting Shares,AC
Alacer Gold Corp.,ASR
Alamos Gold Inc.,AGI
Alaris Royalty Corp.,AD
Algonquin Power & Utilities Corp.,AQN
Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,ATD.B
Allied Properties Real Estate Investment Trust,AP.UN
AltaGas Ltd.,ALA
Altus Group Limited,AIF
Amaya Inc.,AYA
Artis Real Estate Investment Trust,AX.UN
Asanko Gold Inc.,AKG
B2Gold Corp.,BTO
BCE Inc.,BCE
BRP Inc. Subordinate Voting Shares,DOO
Badger Daylighting Ltd.,BAD
Bank of Montreal,BMO
Bank of Nova Scotia (The),BNS
Barrick Gold Corporation,ABX
Baytex Energy Corp.,BTE
Birchcliff Energy Ltd.,BIR
BlackBerry Limited,BB
Boardwalk Real Estate Investment Trust,BEI.UN
Bombardier Inc. Class B Subordinate Voting Shares,BBD.B
Bonavista Energy Corporation,BNP
Bonterra Energy Corp.,BNE
Boyd Group Income Fund,BYD.UN
Brookfield Asset Management Inc. Class A Limited Voting Shares,BAM.A
Brookfield Business Partners L.P.,BBU.UN
Brookfield Property Partners L.P.,BPY.UN
Brookfield Renewable Partners L.P.,BEP.UN
CAE Inc.,CAE
CCL Industries Inc. Unlimited Class B Non-Voting Shares,CCL.B
CGI Group Inc. Class A Subordinate  Voting Shares,GIB.A
CI Financial Corp.,CIX
Cameco Corporation,CCO
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN
Canadian Energy Services & Technology Corp.,CEU
Canadian Imperial Bank Of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Railway Limited,CP
Canadian Real Estate Investment Trust,REF.UN
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A
Canadian Utilities Limited Class A Non-Voting Shares,CU
Canadian Western Bank,CWB
Canfor Corporation,CFP
Capital Power Corporation,CPX
Celestica Inc. Subordinate Voting Shares,CLS
Cenovus Energy Inc.,CVE
Centerra Gold Inc.,CG
Chartwell Retirement Residences,CSH.UN
Chemtrade Logistics Income Fund,CHE.UN
Cineplex Inc.,CGX
Cogeco Communications Inc. Subordinate Voting Shares,CCA
Colliers International Group Inc. Subordinate Voting Shares,CIGI
Cominar Real Estate Investment Trust,CUF.UN
Computer Modelling Group Ltd.,CMG
Constellation Software Inc.,CSU
Corus Entertainment Inc. Class B Non-Voting Shares,CJR.B
Cott Corporation,BCB
Crescent Point Energy Corp.,CPG
Crew Energy Inc.,CR
Crombie Real Estate Investment Trust,CRR.UN
DH Corporation,DH
DHX Media Ltd.,DHX.B
Descartes Systems Group Inc. (The),DSG
Detour Gold Corporation,DGC
Dollarama Inc.,DOL
Dominion Diamond Corporation,DDC
Dorel Industries Inc. Class B Subordinate Voting Shares,DII.B
Dream Global Real Estate Investment Trust,DRG.UN
Dream Office Real Estate Investment Trust,D.UN
ECN Capital Corp.,ECN
Eldorado Gold Corporation,ELD
Element Fleet Management Corp.,EFN
Emera Incorporated,EMA
Empire Company Limited Non-Voting Class A Shares,EMP.A
Enbridge Inc.,ENB
Enbridge Income Fund Holdings Inc.,ENF
Encana Corporation,ECA
Endeavour Mining Corporation Ordinary Shares,EDV
EnerCare Inc.,ECI
Enerflex Ltd.,EFX
Enerplus Corporation,ERF
Enghouse Systems Limited,ENGH
Ensign Energy Services Inc.,ESI
Extendicare Inc.,EXE
Fairfax Financial Holdings Limited Subordinate Voting Shares,FFH
Finning International Inc.,FTT
First Capital Realty Inc.,FCR
First Majestic Silver Corp.,FR
First Quantum Minerals Ltd.,FM
FirstService Corporation Subordinate Voting Shares,FSV
Fortis Inc.,FTS
Franco-Nevada Corporation,FNV
Freehold Royalties Ltd.,FRU
Genworth MI Canada Inc.,MIC
George Weston Limited,WN
Gibson Energy Inc.,GEI
Gildan Activewear Inc.,GIL
Goldcorp Inc.,G
Gran Tierra Energy Inc.,GTE
Granite Real Estate Investment Trust,GRT.UN
Great Canadian Gaming Corporation,GC
Great-West Lifeco Inc.,GWO
Guyana Goldfields Inc.,GUY
H&R Real Estate Investment Trust,HR.UN
Home Capital Group Inc.,HCG
HudBay Minerals Inc.,HBM
Hudson's Bay Company,HBC
Husky Energy Inc.,HSE
Hydro One Limited,H
IAMGOLD Corporation,IMG
IGM Financial Inc.,IGM
Imperial Oil Limited,IMO
Industrial Alliance Insurance and Financial Services Inc.,IAG
Innergex Renewable Energy Inc.,INE
Intact Financial Corporation,IFC
Inter Pipeline Ltd.,IPL
Interfor Corporation,IFP
Intertape Polymer Group Inc.,ITP
Ivanhoe Mines Ltd.,IVN
Jean Coutu Group (PJC) Inc. (The) Class A Subordinate Voting Shares,PJC.A
Just Energy Group Inc.,JE
Kelt Exploration Ltd.,KEL
Keyera Corp.,KEY
Kinaxis Inc.,KXS
Kinross Gold Corporation,K
Kirkland Lake Gold Inc.,KLG
Klondex Mines Ltd.,KDX
Labrador Iron Ore Royalty Corporation,LIF
Laurentian Bank of Canada,LB
Linamar Corporation,LNR
Loblaw Companies Limited,L
Lucara Diamond Corp.,LUC
Lundin Mining Corporation,LUN
MAG Silver Corp.,MAG
MEG Energy Corp.,MEG
MacDonald Dettwiler and Associates Ltd.,MDA
Magna International Inc.,MG
Manitoba Telecom Services Inc.,MBT
Manulife Financial Corporation,MFC
Maple Leaf Foods Inc.,MFI
Martinrea International Inc.,MRE
Methanex Corporation,MX
Metro Inc.,MRU
Milestone Apartments Real Estate Investment Trust,MST.UN
Mitel Networks Corporation,MNW
Morneau Shepell Inc.,MSI
Mullen Group Ltd.,MTL
National Bank of Canada,NA
Nevsun Resources Ltd.,NSU
New Flyer Industries Inc.,NFI
New Gold Inc.,NGD
Norbord Inc.,OSB
Northland Power Inc.,NPI
Northview Apartment Real Estate Investment Trust,NVU.UN
NovaGold Resources Inc.,NG
NuVista Energy Ltd.,NVA
ONEX Corporation Subordinate Voting Shares,ONEX
OceanaGold Corporation,OGC
Open Text Corporation,OTC
Osisko Gold Royalties Ltd,OR
Pan American Silver Corp.,PAA
Parex Resources Inc.,PXT
Parkland Fuel Corporation,PKI
Pason Systems Inc.,PSI
Pembina Pipeline Corporation,PPL
Peyto Exploration & Development Corp.,PEY
Potash Corporation of Saskatchewan Inc.,POT
Power Corporation of Canada Subordinate Voting Shares,POW
Power Financial Corporation,PWF
PrairieSky Royalty Ltd.,PSK
Precision Drilling Corporation,PD
Premium Brands Holdings Corporation,PBH
Pretium Resources Inc.,PVG
ProMetic Life Sciences Inc.,PLI
Pure Industrial Real Estate Trust,AAR.UN
Quebecor Inc. Class B Subordinate Voting Shares,QBR.B
Raging River Exploration Inc.,RRX
Restaurant Brands International Inc.,QSR
RioCan Real Estate Investment Trust,REI.UN
Ritchie Bros. Auctioneers Incorporated,RBA
Rogers Communications Inc. Class B Non-voting Shares,RCI.B
Royal Bank of Canada,RY
Russel Metals Inc.,RUS
SNC-Lavalin Group Inc.,SNC
Sandstorm Gold Ltd.,SSL
Saputo Inc.,SAP
Secure Energy Services Inc.,SES
Semafo Inc.,SMF
Seven Generations Energy Ltd. class A common shares,VII
Shaw Communications Inc. Class B Non-voting Shares,SJR.B
ShawCor Ltd.,SCL
Sierra Wireless Inc.,SW
Silver Standard Resources Inc.,SSO
Silver Wheaton Corp.,SLW
Sleep Country Canada Holdings Inc.,ZZZ
Smart Real Estate Investment Trust,SRU.UN
Spartan Energy Corp.,SPE
Stantec Inc.,STN
Stella-Jones Inc.,SJ
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
Superior Plus Corp.,SPB
